,county,state,latitude,longitude,date
112,Macon County,North Carolina,35.2483,-83.28265,1973-10-01
113,Johnston County,North Carolina,35.5311,-78.4048,2002-07-14
114,Jackson County,North Carolina,35.211,-83.007,2005-07-02
116,Hoke County,North Carolina,35.18083,-79.21278000000001,1995-10-14
118,Macon County,North Carolina,35.104859999999995,-83.23206,2002-12-07
120,Macon County,North Carolina,30.0326,-83.52959,2015-06-29
121,Madison County,North Carolina,35.891999999999996,-82.829,2005-07-05
122,Madison County,North Carolina,35.7695,-82.87408,2012-01-22
123,Mcdowell County,North Carolina,35.85107,-82.05008000000001,2009-09-30
124,Mcdowell County,North Carolina,35.6644,-81.78065,2016-12-24
125,Montgomery County,North Carolina,35.30773,-79.75644,1990-06-30
126,Montgomery County,North Carolina,35.4449,-80.0616,2004-06-12
127,Montgomery County,North Carolina,35.31924,-80.03551,2010-12-04
128,Montgomery County,North Carolina,35.437870000000004,-80.69763,2011-10-24
129,Montgomery County,North Carolina,35.250479999999996,-79.86721,2014-04-15
130,Montgomery County,North Carolina,35.356359999999995,-80.01653,2014-11-08
131,Montgomery County,North Carolina,35.313309999999994,-80.00272,2015-09-24
132,Montgomery County,North Carolina,35.46955,-80.08778000000001,2015-10-25
133,Montgomery County,North Carolina,35.24749,-79.97967,2020-06-18
135,Onslow County,North Carolina,34.509170000000005,-77.53445,1983-10-02
136,Onslow County,North Carolina,34.7576,-77.5873,1987-07-15
137,Onslow County,North Carolina,34.53784,-77.50434,1999-07-16
138,Onslow County,North Carolina,34.404340000000005,-77.23759,2005-02-10
142,Henderson County,North Carolina,35.33975,-82.443,1983-04-15
143,Haywood County,North Carolina,35.89305,-83.26097,2005-12-02
144,Greene County,North Carolina,35.42525,-77.67995,1968-10-16
146,Davie County,North Carolina,35.91965,-80.6282,1977-08-15
147,Davidson County,North Carolina,35.87885,-80.2068,1998-11-15
148,Cumberland County,North Carolina,35.1312,-79.11128000000001,1989-08-09
149,Carteret County,North Carolina,34.79914,-77.10508,1977-05-21
150,Caldwell County,North Carolina,35.94585,-81.7418,1998-09-09
151,Buncombe County,North Carolina,35.7909,-82.4614,1986-09-16
152,Bertie County,North Carolina,35.998000000000005,-76.946,1989-11-11
153,Avery County,North Carolina,35.88561,-81.92929000000001,2010-11-09
154,Ashe County,North Carolina,36.3461,-81.38915,1987-03-22
155,Alexander County,North Carolina,35.94647,-81.03185,2013-06-12
156,Alexander County,North Carolina,35.841029999999996,-81.20877,2013-10-18
157,Ashe County,North Carolina,36.42315,-81.56219,2008-07-21
158,Avery County,North Carolina,35.95865,-81.95195,2011-06-17
159,Buncombe County,North Carolina,35.618,-82.321,1991-11-17
160,Buncombe County,North Carolina,35.2725,-82.65414,2016-06-15
161,Burke County,North Carolina,35.83845,-81.80479,2001-10-20
162,Burke County,North Carolina,35.780429999999996,-81.77603,2013-06-26
163,Cleveland County,North Carolina,35.6267,-81.5917,1972-11-18
164,Cleveland County,North Carolina,35.194,-81.402,2006-08-17
165,Davidson County,North Carolina,35.75,-80.375,2007-04-09
166,Davidson County,North Carolina,35.95815,-80.2084,2007-05-03
167,Duplin County,North Carolina,34.78052,-77.85507,2011-11-19
168,Haywood County,North Carolina,35.53467,-83.17152,2019-07-15
169,Haywood County,North Carolina,35.53467,-83.17152,2021-05-30
170,Henderson County,North Carolina,35.36,-82.4831,2000-12-19
171,Henderson County,North Carolina,35.41939,-82.56715,2009-07-20
172,Mountrail County,North Dakota,47.72964,-102.70100000000001,2004-02-22
173,McLean County,North Dakota,47.71188,-101.8886,2005-08-27
174,McKenzie County,North Dakota,47.63297,-102.7291,2004-02-26
175,Saunders County,Nebraska,41.2333,-96.42668,1979-07-04
176,Sarpy County,Nebraska,41.13399999999999,-95.88,2005-01-06
177,Saline County,Nebraska,40.64043,-97.13195999999999,1997-10-15
178,Lancaster County,Nebraska,40.84792,-96.6824,1980-06-30
179,Knox County,Nebraska,42.766090000000005,-97.97573,1979-09-15
180,Howard County,Nebraska,41.550990000000006,-98.22576,2008-08-15
182,Gage County,Nebraska,40.1399,-96.7432,1974-09-30
183,Douglas County,Nebraska,41.238,-95.92,2005-08-13
184,Dawes County,Nebraska,42.5893,-103.398,1996-07-05
185,Dakota County,Nebraska,42.47356,-96.46025,1998-09-15
186,Cherry County,Nebraska,42.87331,-100.5501,1957-09-18
187,Strafford County,New Hampshire,43.45844,-71.07906,2000-10-15
188,Rockingham County,New Hampshire,43.05,-70.93333,2004-09-12
190,Dawes County,Nebraska,42.69657,-103.0044,2003-09-15
191,Dawes County,Nebraska,42.71425,-103.01799999999999,2006-10-29
196,Somerset County,New Jersey,40.7446,-74.6215,2004-04-23
197,Salem County,New Jersey,39.632,-75.5167,2006-02-01
198,Passaic County,New Jersey,41.06945,-74.15562,1979-08-15
200,Monmouth County,New Jersey,40.181129999999996,-74.09944,1981-09-04
202,Mercer County,New Jersey,40.184779999999996,-74.72261,1977-06-03
204,Essex County,New Jersey,40.8959,-74.2918,1971-10-16
206,Essex County,New Jersey,40.77545,-74.3516,2006-12-17
207,Hunterdon County,New Jersey,40.60667,-74.84528,2008-09-04
208,Middlesex County,New Jersey,40.478,-74.4611,2005-12-11
210,Morris County,New Jersey,40.9934,-74.3249,2005-12-10
211,Morris County,New Jersey,40.9575,-74.45995,2007-02-01
212,Morris County,New Jersey,40.9427,-74.46155,2007-11-09
213,Morris County,New Jersey,40.935520000000004,-74.49518,2009-10-30
214,Morris County,New Jersey,41.01941,-74.57013,2013-02-15
218,Ocean County,New Jersey,39.7384,-74.2975,2005-11-13
219,Ocean County,New Jersey,39.934,-74.3966,2006-07-27
220,Ocean County,New Jersey,40.053000000000004,-74.1301,2009-01-25
221,Ocean County,New Jersey,39.98216,-74.36187,2016-11-21
222,Ocean County,New Jersey,39.94853,-74.42721,2018-04-07
223,Passaic County,New Jersey,41.08335,-74.321,2005-12-10
224,Passaic County,New Jersey,41.1445,-74.29085,2007-01-15
225,Salem County,New Jersey,39.70852,-75.38251,2012-12-29
226,Somerset County,New Jersey,40.45815,-74.77675,2008-07-25
227,Sussex County,New Jersey,41.2145,-74.5995,1976-10-18
228,Sussex County,New Jersey,41.13498,-74.80315,1977-07-09
230,Sussex County,New Jersey,41.29596,-74.68831999999999,1990-06-15
231,Sussex County,New Jersey,41.305659999999996,-74.6854,1991-07-01
232,Sussex County,New Jersey,40.995670000000004,-74.78004,1995-02-01
233,Sussex County,New Jersey,41.14652,-74.59959,1997-11-15
237,Sussex County,New Jersey,41.29453,-74.68758000000001,2015-06-23
238,Sussex County,New Jersey,41.17838,-74.52625,2015-10-02
239,Sussex County,New Jersey,41.27412,-74.64189,2016-03-05
240,Coos County,New Hampshire,44.799690000000005,-71.1794,2014-09-15
243,Hillsborough County,New Hampshire,42.78378,-71.77646,2016-07-08
244,Merrimack County,New Hampshire,43.11074,-71.35414,1970-10-31
245,Merrimack County,New Hampshire,43.28556,-71.46778,2001-01-10
248,Socorro County,New Mexico,33.82819,-106.9285,1986-12-24
250,San Miguel County,New Mexico,35.52162,-105.2526,2013-10-18
252,Rio Arriba County,New Mexico,36.4178,-107.1612,1982-01-11
254,McKinley County,New Mexico,35.63736,-108.8676,2002-09-17
258,Colfax County,New Mexico,36.9934,-104.4801,2005-01-23
259,Storey County,Nevada,39.29056,-119.6564,1980-09-15
260,Humboldt County,Nevada,40.52737,-118.1806,2005-02-15
261,McKinley County,New Mexico,35.58565,-107.9978,2005-11-03
262,McKinley County,New Mexico,35.372009999999996,-108.2034,2011-03-07
263,McKinley County,New Mexico,36.0605,-108.84,2011-07-16
266,Otero County,New Mexico,33.27735,-105.7395,2001-08-06
268,Otero County,New Mexico,33.2516,-105.7197,2004-06-02
270,Otero County,New Mexico,33.15405,-105.7947,2004-07-26
272,Otero County,New Mexico,33.27094,-105.7338,2008-03-12
273,Rio Arriba County,New Mexico,35.98475,-106.8803,1983-05-07
275,Rio Arriba County,New Mexico,36.7474,-107.6021,2004-12-15
276,Rio Arriba County,New Mexico,36.72065,-107.3956,2005-01-10
277,Rio Arriba County,New Mexico,36.91475,-106.9958,2005-06-21
278,Rio Arriba County,New Mexico,36.095,-106.9571,2005-08-11
279,Rio Arriba County,New Mexico,36.90237,-106.5784,2020-07-20
281,San Juan County,New Mexico,36.81315,-108.7608,2002-03-16
282,San Juan County,New Mexico,36.126,-108.87,2002-06-15
283,San Juan County,New Mexico,36.39135,-109.0612,2003-10-19
284,San Juan County,New Mexico,36.14505,-108.8548,2005-08-06
285,San Juan County,New Mexico,36.39135,-109.0612,2005-10-11
286,San Juan County,New Mexico,36.080890000000004,-108.89200000000001,2009-05-12
289,Burlington County,New Jersey,39.60835,-74.43445,1998-07-15
290,Burlington County,New Jersey,40.16465,-74.68135,2005-12-10
291,Burlington County,New Jersey,39.652,-74.6298,2005-12-23
292,Burlington County,New Jersey,39.7962,-74.3749,2006-03-09
293,Burlington County,New Jersey,39.8234,-74.70135,2006-04-07
297,Burlington County,New Jersey,39.69191,-74.55341,2013-05-18
298,Burlington County,New Jersey,39.7784,-74.54086,2019-06-20
301,Cape May County,New Jersey,39.22348,-74.69759,2016-11-16
302,Esmeralda County,Nevada,37.8583,-118.325,2004-10-15
303,Douglas County,Nevada,39.00056,-119.8458,1984-09-15
304,Wayne County,New York,43.273140000000005,-76.89331,2003-09-20
307,Tioga County,New York,42.40489,-76.17366,2001-01-01
309,Schuyler County,New York,42.32724,-76.75318,1999-09-13
312,Putnam County,New York,41.5036,-73.7171,1980-08-21
313,Otsego County,New York,42.563790000000004,-74.8865,1973-08-01
315,Orleans County,New York,43.26886,-78.28014,1992-05-01
317,Orleans County,New York,43.226490000000005,-78.3253,1997-04-15
318,Orleans County,New York,43.2265,-78.1946,2002-08-22
319,Orleans County,New York,43.34806,-78.23962,2003-01-15
322,Otsego County,New York,42.329209999999996,-75.3811,2004-05-31
324,Putnam County,New York,41.498870000000004,-73.59659,2020-05-17
328,Rockland County,New York,41.23296,-74.11488,2015-08-06
329,St. Lawrence County,New York,44.62185,-75.58825,2009-03-18
334,Steuben County,New York,42.543459999999996,-77.36516,2003-11-09
335,Steuben County,New York,42.33473,-77.29253,2012-11-15
336,Tioga County,New York,42.1174,-75.64853000000001,2001-10-22
337,Ulster County,New York,41.66955,-74.0863,1997-05-23
343,Warren County,New York,43.7268,-73.52,2001-08-15
344,Warren County,New York,43.6678,-73.51238000000001,2002-05-11
346,Warren County,New York,43.66344,-73.56614,2006-03-31
347,Warren County,New York,43.42645,-73.741,2006-11-26
348,Warren County,New York,43.647059999999996,-75.57448000000001,2007-08-18
349,Warren County,New York,43.32,-73.81,2009-07-26
350,Warren County,New York,43.55915,-73.34116,2018-08-07
353,Washington County,New York,43.56211,-73.45947,1999-11-01
357,Washington County,New York,43.35086,-73.34347,2015-06-17
358,Washington County,New York,43.56058,-73.40212,2019-06-12
360,Ontario County,New York,42.6153,-77.4028,2006-10-07
361,Onondaga County,New York,43.00972,-76.10047,2017-10-06
362,Oneida County,New York,43.1546,-75.73906,1972-10-28
363,Niagara County,New York,43.195009999999996,-78.54224,2002-09-21
368,Fulton County,New York,43.0949,-74.27923,1966-01-15
371,Dutchess County,New York,41.97341,-73.66615999999999,1985-05-01
375,Delaware County,New York,42.36176,-75.0116,2003-03-01
376,Delaware County,New York,42.0837,-75.38025,2005-10-01
377,Dutchess County,New York,41.59773,-73.64641999999999,2007-07-15
378,Dutchess County,New York,41.94512,-73.87915,2010-02-15
379,Dutchess County,New York,41.87219,-73.55858,2013-11-09
380,Dutchess County,New York,41.605109999999996,-73.59506,2018-03-18
381,Essex County,New York,44.266459999999995,-74.14589000000001,1996-08-15
385,Essex County,New York,44.1856,-73.8094,2005-12-28
386,Essex County,New York,43.81495,-74.00528,2006-07-10
387,Essex County,New York,44.22388,-73.87529,2010-08-06
389,Fulton County,New York,43.132059999999996,-74.47383,2004-06-16
391,Hamilton County,New York,43.61833,-74.75610999999999,1999-05-28
392,Hamilton County,New York,43.30679,-74.15429,2010-09-24
393,Hamilton County,New York,43.46181,-74.23165999999999,2014-07-11
394,Monroe County,New York,43.2696,-77.664,2005-07-27
395,Ontario County,New York,42.67993,-77.29334,2020-10-15
396,Orange County,New York,41.26455,-74.1468,1994-09-14
403,Allegany County,New York,42.09785,-77.93121,1998-02-01
405,Warren County,Ohio,39.13595,-84.17227,2015-01-22
406,Union County,Ohio,40.473259999999996,-83.44371,1983-10-31
407,Tuscarawas County,Ohio,40.28488,-81.58699,1983-11-28
408,Trumbull County,Ohio,41.1462,-80.62124,1997-11-01
409,Summit County,Ohio,41.10765,-81.4311,1978-09-01
410,Shelby County,Ohio,40.24354,-84.18491,1982-11-01
411,Scioto County,Ohio,38.77727,-83.18179,1977-10-31
412,Scioto County,Ohio,38.685159999999996,-83.12916,1982-07-21
413,Scioto County,Ohio,38.74899,-82.97854,1986-10-01
414,Scioto County,Ohio,38.83628,-83.12873,1990-10-01
415,Scioto County,Ohio,38.79215,-82.93085,2004-06-25
416,Scioto County,Ohio,38.693220000000004,-83.12891,2010-07-06
417,Scioto County,Ohio,38.9506,-83.02551,2014-02-14
418,Stark County,Ohio,40.793620000000004,-81.32337,1976-08-10
419,Stark County,Ohio,40.679790000000004,-81.51075,1978-07-01
420,Stark County,Ohio,40.7343,-81.15621999999999,1978-08-01
421,Stark County,Ohio,40.74451,-81.0758,1978-08-21
422,Stark County,Ohio,40.75079,-81.27147,1991-08-15
424,Stark County,Ohio,40.74065,-81.35575,1995-02-15
425,Stark County,Ohio,40.77789,-81.25768000000001,2001-02-24
426,Stark County,Ohio,40.90177,-81.26729,2010-10-22
427,Stark County,Ohio,40.79438,-81.31219,2011-09-09
428,Summit County,Ohio,41.296209999999995,-81.5745,1995-01-04
429,Summit County,Ohio,41.31609,-81.56152,1995-03-11
430,Summit County,Ohio,41.23638,-81.62379,1998-10-01
431,Summit County,Ohio,41.35208,-81.57021,2005-07-12
432,Summit County,Ohio,41.2584,-81.56255,2005-09-14
433,Summit County,Ohio,41.25248,-81.60838000000001,2007-12-24
434,Summit County,Ohio,41.16984,-81.64180999999999,2010-11-18
435,Summit County,Ohio,41.237390000000005,-81.60576,2011-06-04
437,Summit County,Ohio,41.214240000000004,-81.5168,2015-05-24
438,Summit County,Ohio,41.23925,-81.62295,2019-05-28
439,Trumbull County,Ohio,41.36755,-80.76735,2000-02-01
440,Trumbull County,Ohio,41.42579,-80.89095999999999,2004-08-07
441,Trumbull County,Ohio,39.74678,-89.34647,2005-03-01
442,Tuscarawas County,Ohio,40.62147,-81.34993,1988-06-15
443,Tuscarawas County,Ohio,40.36831,-81.32809,1988-09-15
444,Tuscarawas County,Ohio,40.274879999999996,-81.51749000000001,1997-05-01
445,Tuscarawas County,Ohio,40.6298,-81.5693,2002-10-12
446,Tuscarawas County,Ohio,40.20275,-81.1188,2007-02-28
447,Tuscarawas County,Ohio,40.47672,-81.39331,2008-06-20
448,Vinton County,Ohio,39.251090000000005,-82.3997,1956-01-01
449,Vinton County,Ohio,39.142990000000005,-82.41166,1987-10-01
450,Vinton County,Ohio,39.17029,-82.47604,2000-05-25
451,Vinton County,Ohio,39.24523,-82.27037,2004-06-20
452,Warren County,Ohio,39.42606,-84.10463,2020-04-12
453,Allegany County,New York,42.24542,-77.98756,1999-01-16
456,Cattaraugus County,New York,42.15947,-78.82683,2004-10-15
457,Cattaraugus County,New York,42.06832,-78.7492,2013-07-23
461,Clinton County,New York,44.663990000000005,-73.73606,2005-02-15
462,Sandusky County,Ohio,41.29247,-83.05098000000001,2017-10-28
463,Ross County,Ohio,39.49265,-83.11421999999999,1980-07-01
464,Preble County,Ohio,39.70042,-84.62567,1977-05-18
465,Portage County,Ohio,41.30265,-81.30896,1962-06-06
466,Pike County,Ohio,39.17257,-83.26393,1999-12-22
467,Perry County,Ohio,39.785940000000004,-82.29162,1978-06-01
468,Ottawa County,Ohio,41.48962,-83.06976999999999,1974-04-20
469,Noble County,Ohio,39.63382,-81.40079,1958-01-15
470,Muskingum County,Ohio,40.04603,-82.14536,1995-03-11
472,Montgomery County,Ohio,39.61205,-84.36754,1988-09-14
473,Monroe County,Ohio,39.755309999999994,-81.02917,1994-02-15
474,Miami County,Ohio,39.9784,-84.1735,2000-09-01
475,Medina County,Ohio,41.02572,-81.77677,1976-09-01
476,Mahoning County,Ohio,41.1174,-80.9835,1972-08-01
477,Madison County,Ohio,39.96627,-83.51394,2003-02-18
478,Mahoning County,Ohio,41.05304,-80.51186,1998-07-01
479,Mahoning County,Ohio,41.09087,-80.77592,2001-09-30
480,Mahoning County,Ohio,41.128840000000004,-80.85831999999999,2006-04-01
481,Mahoning County,Ohio,40.95818,-80.97507,2009-08-12
482,Mahoning County,Ohio,41.114470000000004,-80.14099,2012-03-24
483,Mahoning County,Ohio,40.94825,-80.69776,2013-11-12
484,Mahoning County,Ohio,40.911970000000004,-80.70913,2021-07-17
485,Medina County,Ohio,41.09302,-81.82391,1978-09-30
486,Medina County,Ohio,41.12012,-81.81317,1992-09-20
487,Medina County,Ohio,41.060190000000006,-81.79669,2000-10-01
488,Medina County,Ohio,41.06648,-81.96419,2001-09-25
489,Medina County,Ohio,41.03,-82.0101,2003-05-01
490,Medina County,Ohio,41.11417,-82.07824000000001,2013-04-13
491,Medina County,Ohio,41.22248,-81.91615999999999,2013-06-25
492,Miami County,Ohio,39.89172,-84.14493,2003-09-03
493,Miami County,Ohio,40.043420000000005,-84.04518,2009-02-06
495,Montgomery County,Ohio,39.8494,-84.15971,2004-08-15
496,Montgomery County,Ohio,39.63662,-84.36874,2005-02-15
498,Morrow County,Ohio,40.4764,-82.80256999999999,1978-01-01
499,Morrow County,Ohio,40.463390000000004,-82.82576,1978-06-20
500,Morrow County,Ohio,40.5896,-82.82214,2002-08-15
501,Morrow County,Ohio,40.50945,-82.87663,2005-01-13
503,Muskingum County,Ohio,39.90416,-81.98721,2003-07-26
504,Muskingum County,Ohio,40.01209,-82.13298,2015-12-01
505,Noble County,Ohio,39.88653,-81.27131999999999,1977-02-01
506,Noble County,Ohio,39.640809999999995,-81.47081,1982-06-19
507,Noble County,Ohio,39.931540000000005,-81.28671,1988-08-01
508,Perry County,Ohio,39.64193,-82.1013,2003-05-11
509,Perry County,Ohio,39.63255,-82.26463000000001,2020-02-15
510,Perry County,Ohio,39.596070000000005,-82.35291,2020-10-31
511,Pike County,Ohio,39.10611,-83.0363,2000-05-01
512,Pike County,Ohio,39.0895,-82.8342,2013-06-01
513,Pike County,Ohio,39.05922,-83.07491999999999,2013-12-24
514,Portage County,Ohio,41.10715,-81.1414,1970-11-01
515,Portage County,Ohio,41.31405,-81.38112,1976-08-01
516,Portage County,Ohio,41.06499,-81.3741,1983-07-31
517,Portage County,Ohio,41.15845,-81.33134,1986-04-16
518,Portage County,Ohio,41.185179999999995,-81.03764,1986-07-15
519,Portage County,Ohio,41.16187,-81.37181,1987-07-01
520,Portage County,Ohio,41.15384,-81.1124,1994-02-12
521,Portage County,Ohio,41.2599,-81.1455,1995-10-01
522,Portage County,Ohio,41.17646,-81.32425,1997-04-15
523,Portage County,Ohio,41.13021,-81.11578,1999-08-15
524,Portage County,Ohio,40.98596,-81.11641999999999,2000-08-01
525,Portage County,Ohio,41.133559999999996,-81.17155,2003-10-10
526,Portage County,Ohio,41.3235,-81.22745,2003-11-02
527,Portage County,Ohio,41.059309999999996,-81.3654,2008-06-11
529,Portage County,Ohio,41.13183,-81.11617,2009-06-17
531,Portage County,Ohio,41.06194,-81.36305,2011-08-17
532,Preble County,Ohio,39.641459999999995,-84.48506,1978-09-01
533,Preble County,Ohio,39.65361,-84.66399,2012-11-15
534,Preble County,Ohio,39.65625,-84.51191999999999,2014-06-07
536,Richland County,Ohio,40.92276,-82.44400999999999,1958-11-01
537,Richland County,Ohio,40.74705,-82.64864,1996-07-01
538,Richland County,Ohio,40.612359999999995,-82.48699,1998-09-01
539,Ross County,Ohio,39.10495,-82.79665,2002-09-07
540,Ross County,Ohio,39.20212,-83.13585,2002-12-01
541,Lorain County,Ohio,41.382740000000005,-82.12263,1967-07-01
542,Licking County,Ohio,40.00915,-82.67251999999999,1968-08-01
543,Lawrence County,Ohio,38.54852,-82.66615999999999,1980-08-25
544,Lake County,Ohio,41.7164,-81.1438,1981-07-01
545,Knox County,Ohio,40.36462,-82.24197,2018-01-05
546,Jefferson County,Ohio,40.34042,-80.64211,1978-12-01
547,Huron County,Ohio,41.0672,-82.41861,1999-08-01
548,Holmes County,Ohio,40.59935,-82.23988,1997-07-03
549,Hocking County,Ohio,39.48219,-82.32669,1979-05-01
550,Harrison County,Ohio,40.33345,-81.26559,1998-05-30
551,Hardin County,Ohio,40.6445,-83.6118,2002-07-18
552,Hancock County,Ohio,41.148959999999995,-83.43666999999999,1994-06-01
553,Hamilton County,Ohio,39.26903,-84.25986,2013-10-12
554,Greene County,Ohio,39.745,-83.825,1988-05-07
556,Geauga County,Ohio,41.44442,-81.20629,1978-02-05
557,Geauga County,Ohio,41.473490000000005,-81.3726,1980-08-15
558,Geauga County,Ohio,41.39803,-81.33974,2001-10-26
559,Geauga County,Ohio,41.5325,-81.1351,2002-08-04
560,Geauga County,Ohio,41.5621,-81.22853,2004-07-01
561,Geauga County,Ohio,41.572309999999995,-81.22075,2005-02-24
562,Geauga County,Ohio,41.500859999999996,-81.28275,2005-08-14
563,Geauga County,Ohio,41.38199,-81.27506,2006-08-04
564,Greene County,Ohio,39.74961,-84.09158000000001,2002-06-01
565,Greene County,Ohio,39.6543,-83.7278,2013-03-16
566,Guernsey County,Ohio,40.089459999999995,-81.69818000000001,1996-10-25
567,Guernsey County,Ohio,40.17699,-81.63656,1998-10-15
